id,name,lastname,email,sex,longitude,latitude,rut,strength,dextery,knowledge,motivation,leadership
20,Cristobal,Fritchley,cfritchleyj@adobe.com,Male,-68.8919487183593,-19.7992383388781,9359618-8,10,4,8,7,5
21,Donna,Hercock,dhercockk@privacy.gov.au,Female,-69.110014059482,-20.7102875974606,9223313-8,7,7,8,2,8
22,Patrizius,Rosbottom,prosbottoml@hc360.com,Male,-68.6369809234678,-24.4779667614752,9220591-6,5,3,9,1,6
23,Desiree,Breslin,dbreslinm@php.net,Female,-69.2075717339944,-24.1457741657959,9118490-7,3,8,10,6,3
24,Web,Blare,wblaren@tumblr.com,Male,-68.9472066476778,-24.4885388941631,9061753-2,3,3,7,7,8
25,Bernard,Thundercliffe,bthundercliffeo@altervista.org,Male,-70.3292576802984,-23.1651770011915,9042617-6,2,1,3,5,9
26,Jannel,Gregore,jgregorep@opensource.org,Female,-70.5619109407542,-23.2555536971722,9000053-5,5,6,7,9,4
27,Anett,Pasque,apasqueq@parallels.com,Female,-70.4014054815132,-23.2473158204884,8949172-k,7,2,3,1,2
28,Sancho,Miskelly,smiskellyr@springer.com,Male,-68.7969000936182,-23.7125577465375,8947415-9,8,4,1,7,3
29,Che,Harriot,charriots@ning.com,Male,-69.8237005144221,-23.2530516275966,8908124-6,10,3,5,8,10
30,Matthieu,Hyatt,mhyattt@springer.com,Male,-69.7163085909228,-23.497799878712,8860439-3,1,7,9,6,5
31,Pascale,Honsch,phonschu@trellian.com,Male,-70.4281627433775,-24.7744281688381,8852876-k,5,8,1,7,3
32,Gian,Dancey,gdanceyv@g.co,Male,-69.3316019891895,-25.5413769782575,8842209-0,4,6,8,1,10
33,Mathilda,Keir,mkeirw@fda.gov,Female,-69.582854767561,-25.8200925964353,8801269-0,9,8,4,10,2
34,Tadeo,Rickeard,trickeardx@1688.com,Male,-68.6145003006199,-22.8589573973749,8749739-9,7,8,5,10,5
35,Emmie,Guion,eguiony@oakley.com,Female,-68.8805471802391,-22.4678806215027,8635123-4,7,10,3,6,5
36,Andrus,Toffano,atoffanoz@prnewswire.com,Male,-68.1174051922343,-22.201620542571,8632242-0,8,3,8,5,3
37,Woodrow,Helder,whelder10@tumblr.com,Male,-68.2469949414393,-21.6128283056011,8610913-1,9,8,10,10,3
38,Isahella,Spyer,ispyer11@odnoklassniki.ru,Female,-68.414662754525,-21.211295483246,8577235-k,4,3,6,8,8
39,Mercedes,Garraway,mgarraway12@slideshare.net,Female,-68.4355774226473,-21.1337044013426,8485374-7,2,7,2,8,2
40,Julissa,Zum Felde,jzumfelde13@usnews.com,Female,-68.576381804582,-23.9324063403791,8475051-4,6,6,8,3,5
41,Kip,Sanbrook,ksanbrook14@blogger.com,Male,-68.4161068800199,-23.7336438872615,8444556-8,6,2,6,7,5
42,Con,Pyne,cpyne15@ebay.com,Female,-67.7019931914282,-23.2865509443928,8444363-8,8,5,4,8,10
43,Donica,Hullah,dhullah16@tiny.cc,Female,-69.8260058598543,-22.1069545671773,8407354-7,1,7,1,5,3
44,Jeane,Thurlbeck,jthurlbeck17@washington.edu,Female,-70.1164553135353,-21.8340077291513,8323048-7,9,5,6,7,7
45,Elmo,Wilcocke,ewilcocke18@g.co,Male,-69.9627973542466,-21.516342465473,8308085-k,9,7,6,9,3
46,Haily,Meenan,hmeenan19@ft.com,Male,-69.2168311709768,-22.1924369688486,8299604-4,1,2,3,8,3
47,Carilyn,McRill,cmcrill1a@ucoz.com,Female,-69.0612156321132,-21.3457060629967,8289629-5,9,5,7,5,10
48,Marena,Kynman,mkynman1b@senate.gov,Female,-69.6601076508468,-21.7441618731293,8276212-4,2,9,10,5,4
49,Maxie,Sigward,msigward1c@slashdot.org,Male,-70.3296843832543,-27.4585968942084,8266559-5,5,7,8,9,4
50,Esther,Penhaligon,epenhaligon1d@addtoany.com,Female,-69.0177482693851,-26.9161928976156,8224664-9,10,6,8,3,6
51,Cord,Hirtz,chirtz1e@homestead.com,Male,-68.9820545877913,-27.1908597595752,8216547-9,2,9,8,2,7
52,Clive,Dawe,cdawe1f@odnoklassniki.ru,Male,-70.6186124819186,-27.0324034351545,8170642-5,8,9,5,8,6
53,Bordy,Lintott,blintott1g@google.es,Male,-70.8879179121996,-27.3335105575575,8127353-7,9,1,6,7,8
54,Marlene,Habbijam,mhabbijam1h@furl.net,Female,-70.8635469872722,-27.2455799852115,8091730-9,3,9,10,10,9
55,Freida,Outhwaite,fouthwaite1i@fema.gov,Female,-69.0630536838495,-27.6140537617791,8077243-2,7,10,10,1,4
56,Rosamund,Outright,routright1j@cocolog-nifty.com,Female,-69.6417383027048,-27.8143991873273,8015729-0,5,7,6,8,1
57,Annalise,Prantl,aprantl1k@google.com.au,Female,-70.2799500885564,-27.6602359175484,8007770-k,6,10,9,2,9
58,Natalya,Dodswell,ndodswell1l@naver.com,Female,-70.2865426123207,-26.233351913348,8004793-2,9,2,9,5,5
59,Hyacintha,Lakenden,hlakenden1m@usa.gov,Female,-70.2454350452411,-26.7261417334753,7990273-k,3,6,5,2,4
60,Maurene,Gellert,mgellert1n@cnbc.com,Female,-70.2973906478465,-26.8514995593117,7986350-5,1,1,7,2,7
61,Merrill,Dranfield,mdranfield1o@xinhuanet.com,Female,-70.1510571724786,-26.3868851666705,7935295-0,5,9,7,8,4
62,Judd,Rentoll,jrentoll1p@technorati.com,Male,-69.8867736217933,-26.277462516874,7846935-8,5,5,10,10,5
63,Iolanthe,Pexton,ipexton1q@biblegateway.com,Female,-68.5512921752836,-25.3865481111081,7816803-k,10,6,4,6,10
64,Sigfrid,Oehm,soehm1r@infoseek.co.jp,Male,-70.3688081770495,-28.3549575695518,7810053-2,2,4,3,10,4
65,Hetty,Drake,hdrake1s@craigslist.org,Female,-70.7526499673409,-28.844489161888,7803849-7,3,4,4,8,9
66,Forster,Nehls,fnehls1t@homestead.com,Male,-70.2406703751765,-28.5704271538995,7797207-2,2,5,10,9,5
67,Artemas,D'Orsay,adorsay1u@smh.com.au,Male,-70.1935048455151,-29.2804234339587,7789196-k,10,1,6,3,2
68,Sidonnie,Fildes,sfildes1v@timesonline.co.uk,Female,-70.2811474811271,-29.315883118525,7741988-8,4,9,10,5,9
69,Myrtie,Stainer,mstainer1w@t-online.de,Female,-70.1984600696183,-28.6304051914145,7710483-6,7,10,4,6,7
70,Carlynne,Schwaiger,cschwaiger1x@paginegialle.it,Female,-71.1668367891623,-29.1311568550481,7697002-5,3,6,6,9,9
71,Adan,Hallgath,ahallgath1y@jugem.jp,Male,-71.3076390444792,-29.1277618126214,7686660-0,3,3,6,3,1
72,Teodor,Dinzey,tdinzey1z@edublogs.org,Male,-71.0449724352433,-28.5863489329575,7685714-8,3,10,4,6,7
73,Tammi,Leftridge,tleftridge20@ucoz.com,Female,-70.8208232547093,-28.2370463433832,7668977-6,4,4,3,1,10
74,Dorene,Ellif,dellif21@huffingtonpost.com,Female,-71.1415142508672,-28.1459447418787,7660425-8,7,1,2,4,2
75,Pincas,Martineau,pmartineau22@adobe.com,Male,-71.1218636353483,-28.1106584075568,7625453-2,8,1,9,4,1
76,Percy,Dressel,pdressel23@miibeian.gov.cn,Male,-71.2380925362844,-29.7665745049008,7572217-6,6,3,3,1,7
77,Cecil,Spore,cspore24@1und1.de,Male,-70.9883455087712,-29.6269480303796,7559956-0,6,4,7,8,2
78,Abbey,Edland,aedland25@redcross.org,Male,-71.0803276417676,-29.7831113610666,7496372-2,4,1,5,3,7
79,Lorne,Jewiss,ljewiss26@a8.net,Female,-71.3927035063526,-30.1962219109587,7480080-7,8,10,1,5,2
80,Tony,Worsom,tworsom27@reference.com,Male,-71.5502515235677,-30.3260343191903,7475406-6,8,3,9,4,2
81,Perkin,Pilsworth,ppilsworth28@elpais.com,Male,-71.3921062366543,-29.9982940160371,7460877-9,1,5,8,7,6
82,Link,Roulston,lroulston29@weibo.com,Male,-71.0721800289111,-30.2151788011905,7457257-k,1,9,3,8,1
83,Meriel,Wearne,mwearne2a@hao123.com,Female,-71.0894119670337,-30.2034013673868,7444650-7,2,9,1,1,3
84,Shepperd,Jahan,sjahan2b@blogger.com,Male,-71.070114096659,-30.2122569350095,7436176-5,4,2,4,7,4
85,Decca,Trunkfield,dtrunkfield2c@ning.com,Male,-70.7068450924617,-29.1553873403291,7431358-2,1,4,10,5,7
86,Penrod,Jakov,pjakov2d@opera.com,Male,-70.6179477575569,-29.3101717907049,7426635-5,6,6,7,8,2
87,Bobette,Thackham,bthackham2e@msn.com,Female,-70.879066043024,-29.3540197903298,7416165-0,7,4,5,8,8
88,Estevan,Norridge,enorridge2f@discovery.com,Male,-70.4104719163283,-30.0846661145189,7373388-k,1,5,5,8,4
89,Salim,Clague,sclague2g@google.de,Male,-70.3235310626972,-30.3462776182248,7370245-3,5,1,9,2,8
90,Brandi,Wakenshaw,bwakenshaw2h@adobe.com,Female,-70.3898936380358,-30.0177966722995,7318257-3,10,6,5,1,7
91,Alexander,Porcher,aporcher2i@hugedomains.com,Male,-70.671949001224,-29.8985022994233,7317296-9,1,10,9,9,2
92,Bayard,Padrick,bpadrick2j@weibo.com,Male,-70.3789544337976,-29.6969414591747,7294899-8,10,7,3,7,6
93,Ole,Scheffel,oscheffel2k@unicef.org,Male,-70.0617087830759,-29.6843427707088,7288186-9,4,5,10,6,7
94,Pavel,Livard,plivard2l@networksolutions.com,Male,-71.1683667794431,-31.6921168766856,7212701-3,5,7,8,8,10
95,Ardith,Mee,amee2m@techcrunch.com,Female,-70.9211166458406,-31.3705032417471,7200119-2,9,9,7,1,6
96,Hayes,Melloi,hmelloi2n@arstechnica.com,Male,-70.9685973169541,-31.4111460351098,7165332-3,10,3,8,8,10
97,Arlene,Punt,apunt2o@fc2.com,Female,-71.4652564622405,-31.4691193230171,7061418-9,1,9,1,1,2
98,Egor,Isaq,eisaq2p@harvard.edu,Male,-71.5970030697364,-31.253376829326,7040681-0,4,6,6,5,4
99,Stanton,McCathay,smccathay2q@unicef.org,Male,-71.6211579186477,-31.2521157277325,7031704-4,3,4,1,7,9
100,Durante,Petracek,dpetracek2r@theguardian.com,Male,-71.0909510848322,-32.0895578322337,7002383-0,3,5,2,8,3
101,Judie,Ogborne,jogborne2s@tiny.cc,Female,-71.1747672013981,-32.1297813059118,6979788-1,9,1,9,2,8
102,Fremont,Weale,fweale2t@archive.org,Male,-71.1940302886683,-32.1399558830576,6969531-0,10,2,1,4,4
103,Rachel,Le Brun,rlebrun2u@cyberchimps.com,Female,-70.8371471965294,-31.8720245100018,6935310-k,10,10,9,6,3
104,Agna,Meritt,ameritt2v@nbcnews.com,Female,-70.6733381320311,-31.835313890548,6850364-7,7,7,3,10,9
105,Winfred,Grimditch,wgrimditch2w@chicagotribune.com,Male,-70.4109771044048,-32.1762369952738,6831479-8,8,6,9,2,5
106,Gwenni,Tolussi,gtolussi2x@wunderground.com,Female,-71.6875749179703,-30.5041432275279,6814023-4,1,4,8,3,10
107,Iggy,Stoller,istoller2y@ovh.net,Male,-71.2383681898254,-30.6283942299578,6790839-2,9,9,8,5,1
108,Gerri,Tabbernor,gtabbernor2z@multiply.com,Female,-71.2306088271278,-30.5190495904562,6768971-2,6,5,7,1,7
109,Bibbye,McGinnis,bmcginnis30@tuttocitta.it,Female,-71.2146211528399,-30.9283697900796,6748756-7,2,10,9,7,3
110,Huey,Pigot,hpigot31@theatlantic.com,Male,-71.0601868719873,-31.3616785727751,6719802-6,10,6,4,3,9
111,Kipp,Mulvey,kmulvey32@opensource.org,Male,-70.9178314719609,-31.2879057981642,6685261-k,3,1,3,9,4
112,Sampson,Cawthorne,scawthorne33@vinaora.com,Male,-70.555680270606,-30.6809275565433,6681404-1,10,6,4,10,7
113,Shanie,Addams,saddams34@mail.ru,Female,-70.8165154199987,-30.7397693252983,6676485-0,6,2,5,8,5
114,Janey,Claiden,jclaiden35@nba.com,Female,-70.7683146229375,-30.8389887705178,6657970-0,8,10,4,4,3
115,Ingaborg,Mcwhinney,imcwhinney36@cnn.com,Female,-71.3291116820325,-30.9574155366003,6650661-4,8,7,1,4,8
116,Liv,Garaway,lgaraway37@trellian.com,Female,-71.4900928075193,-31.0778299778254,6641240-7,2,1,6,8,7
117,Orlando,Epps,oepps38@soup.io,Male,-71.3339462633816,-31.0958106252857,6636083-0,3,6,10,5,6
118,Cull,Bardill,cbardill39@imageshack.us,Male,-70.6226635857116,-30.4372854701124,6603287-6,5,9,7,9,10
119,Rayner,Dahlman,rdahlman3a@census.gov,Male,-70.9292739928843,-30.487403588393,6601572-6,6,4,1,10,1
120,Bryana,Guerreru,bguerreru3b@amazon.de,Female,-70.7618423817887,-30.4755489122276,6580604-5,7,2,8,9,8
121,Lothaire,Allder,lallder3c@walmart.com,Male,-71.5307769024059,-33.1493795296013,6573891-0,3,2,9,10,7
122,Earlie,Immings,eimmings3d@prweb.com,Male,-71.6267358766455,-33.0705303356468,6572073-6,6,9,8,3,6
123,Ellsworth,Phidgin,ephidgin3e@intel.com,Male,-71.6060901692019,-33.0934526730462,6566532-8,1,5,7,3,8
124,Bastien,Legat,blegat3f@eventbrite.com,Male,-71.418759236537,-33.3958034033374,6542808-3,5,1,9,7,2
125,Katee,Minkin,kminkin3g@infoseek.co.jp,Female,-71.4246970512015,-33.3198855911707,6541548-8,7,9,1,5,8
126,Hollie,Hellsdon,hhellsdon3h@addtoany.com,Female,-71.2834582872024,-33.2666527634145,6539914-8,7,4,7,8,4
127,Doyle,Schneider,dschneider3i@forbes.com,Male,-80.7820522114471,-33.8145685507568,6529397-8,10,6,4,4,7
128,Noland,Blanchette,nblanchette3j@ucsd.edu,Male,-80.8149872539967,-33.7410273635924,6518686-1,8,9,3,6,1
129,Rosaleen,Lowy,rlowy3k@ftc.gov,Female,-78.7939330779361,-33.6505513102339,6441273-6,5,1,7,4,9
130,Harriette,Nutbean,hnutbean3l@rambler.ru,Female,-71.4446895877759,-32.6876292892348,6405604-2,1,7,5,7,8
131,Tierney,McCritichie,tmccritichie3m@jugem.jp,Female,-71.4731063201756,-32.7312570332897,6388805-2,10,8,7,5,1
132,Ada,Suermeier,asuermeier3n@blog.com,Female,-71.3716274010454,-32.7293718055626,6374242-2,9,3,8,8,2
133,Vasilis,Warburton,vwarburton3o@ebay.co.uk,Male,-71.4516830894364,-32.8741931504491,6366476-6,7,3,3,2,3
134,Genia,Layne,glayne3p@so-net.ne.jp,Female,-71.437926878922,-32.8625788249877,6331527-3,10,10,10,10,1
135,Muffin,Brixham,mbrixham3q@fastcompany.com,Male,-71.5101544501711,-32.8136449824619,6303396-0,3,5,1,7,2
136,Alexandrina,Fetherby,afetherby3r@samsung.com,Female,-109.378632462408,-27.1061739709329,6215890-5,5,9,5,8,1
137,Merle,McBlain,mmcblain3s@va.gov,Female,-109.342511390674,-27.1035422775972,6060812-1,6,1,10,4,3
138,Ketty,Kellough,kkellough3t@spotify.com,Female,-109.446334088188,-27.1861364409725,6060436-3,6,2,3,4,10
139,Waverly,Olrenshaw,wolrenshaw3u@sakura.ne.jp,Male,-70.2840659557513,-33.013733112202,6039052-5,4,3,7,4,1
140,Atlante,Horlock,ahorlock3v@cnbc.com,Female,-70.3002253249953,-32.9550171401394,5986154-9,4,8,7,3,1
141,Graham,Mora,gmora3w@last.fm,Male,-70.1348051006849,-32.7703042981727,5959678-0,1,9,7,3,3
142,Randal,Follis,rfollis3x@netscape.com,Male,-70.580505036348,-32.9066580631924,5955889-7,3,8,7,9,1
143,Dunc,Hanigan,dhanigan3y@comsenz.com,Male,-70.5395013243973,-32.8806965599809,5896026-8,6,2,5,4,3
144,Donnell,Devenny,ddevenny3z@hexun.com,Male,-70.5540747614956,-32.8864880801152,5874800-5,6,3,1,2,6
145,Jamesy,Arrault,jarrault40@gravatar.com,Male,-70.7191641878338,-32.8607320652218,5829049-1,10,8,1,9,6
146,Umberto,MacPike,umacpike41@elpais.com,Male,-70.6797994611385,-32.8299358054509,5828295-2,7,6,1,3,10
147,Josh,Orgill,jorgill42@linkedin.com,Male,-70.6936349766321,-32.9144706173748,5786935-6,3,7,6,10,2
148,Joelly,Wynett,jwynett43@dmoz.org,Female,-70.2031787280715,-32.599949323041,5694024-3,9,2,5,3,1
149,Brooks,Nannoni,bnannoni44@slate.com,Male,-70.2602926068284,-32.8298656223677,5687033-4,1,10,8,4,10
150,Malchy,Wyld,mwyld45@ca.gov,Male,-70.2105975782395,-32.6771330342173,5672931-3,10,9,4,6,1
151,Golda,Mattacks,gmattacks46@about.com,Female,-71.1500879958812,-32.5157877920378,5658971-6,1,7,2,10,4
152,Norry,Halleybone,nhalleybone47@omniture.com,Male,-71.1631032412428,-32.3869238800524,5658918-k,1,10,9,4,4
153,Maurise,Arlott,marlott48@multiply.com,Male,-71.3233703731214,-32.2746412169536,5645012-2,4,7,10,8,6
154,Thebault,Holmyard,tholmyard49@privacy.gov.au,Male,-70.5792402700448,-32.3630445635413,5614193-6,9,6,4,6,8
155,Saunderson,Lortzing,slortzing4a@latimes.com,Male,-70.6882210549246,-32.3104597523176,5611326-6,6,7,1,9,9
156,Emmie,Stocking,estocking4b@vimeo.com,Female,-70.7235418557128,-32.3634171578381,5610291-4,9,3,10,9,8
157,Terrill,McGraffin,tmcgraffin4c@arizona.edu,Male,-71.3566713869998,-32.4156225436572,5609149-1,3,4,9,3,7
158,Jess,Pinck,jpinck4d@networkadvertising.org,Male,-71.3268269782343,-32.4459603346906,5586430-6,7,9,10,2,1
159,Marketa,Hansom,mhansom4e@macromedia.com,Female,-71.4000151214548,-32.4373163506496,5563616-8,2,5,1,10,1
160,Walton,Kid,wkid4f@mapquest.com,Male,-71.0983284798972,-32.3658374797965,5546199-6,4,7,8,7,4
161,Ignaz,Shildrick,ishildrick4g@examiner.com,Male,-70.8966964308446,-32.2540199224994,5517360-5,3,6,4,9,3
162,Lawry,Dallinder,ldallinder4h@kickstarter.com,Male,-70.9020843019193,-32.3206194345566,5491647-7,9,2,5,4,8
163,Marco,Showl,mshowl4i@ameblo.jp,Male,-71.3266950835134,-32.5650552862037,5486473-6,7,5,7,6,10
164,Grethel,Pearmain,gpearmain4j@who.int,Female,-71.2684592015198,-32.6155569802191,5466190-8,2,1,4,10,3
165,Noami,Sheaf,nsheaf4k@google.co.jp,Female,-71.4266002016508,-32.5926124555915,5465896-6,2,2,7,4,10
166,Johnette,Dight,jdight4l@wired.com,Female,-71.1697593166384,-32.8097023760019,5440984-2,3,10,10,8,4
167,Bartlett,Hame,bhame4m@jalbum.net,Male,-71.136040908478,-32.8517104581493,5396287-4,1,4,9,1,1
168,Pierce,Brinklow,pbrinklow4n@tmall.com,Male,-71.1184598614375,-32.7596902457397,5372090-0,8,1,5,10,2
169,Cati,Rogan,crogan4o@vk.com,Female,-71.0629139362448,-32.8363123523195,5364315-9,8,2,8,9,8
170,Verney,Hewins,vhewins4p@addthis.com,Male,-71.1512762722364,-32.7839688037063,5363117-7,5,4,1,2,10
171,Jerome,Worms,jworms4q@so-net.ne.jp,Male,-71.0201243493743,-32.8122351906711,5300219-6,7,6,4,1,1
172,Bibbye,Tarn,btarn4r@smugmug.com,Female,-71.3081546245278,-32.8166885182159,5286344-9,3,6,7,5,6
173,Pauly,Whybray,pwhybray4s@wikimedia.org,Male,-71.1843672776798,-32.8582520376373,5259507-k,9,1,2,5,5
174,Vinson,Orteaux,vorteaux4t@homestead.com,Male,-71.2181967771936,-32.8548265953561,5253343-0,10,6,10,6,6
175,Demott,Matveiko,dmatveiko4u@china.com.cn,Male,-71.2164797824085,-32.7126584439144,5227329-3,1,1,9,6,6
176,Moe,Fordyce,mfordyce4v@ftc.gov,Male,-71.1096666156767,-32.6529203674741,5216864-3,1,6,3,8,4
177,Merle,Ferri,mferri4w@wikia.com,Female,-71.1664765606722,-32.7074563216829,5213412-9,6,2,7,8,7
178,Fredelia,Kirgan,fkirgan4x@eventbrite.com,Female,-71.4461178524135,-33.632944969242,5198412-9,6,4,10,5,8
179,Blair,Aindrais,baindrais4y@home.pl,Female,-71.5016312143264,-33.7229729741278,5072110-8,6,5,7,7,10
180,Herbie,Wassung,hwassung4z@blinklist.com,Male,-71.4957354945616,-33.6670431223062,5069410-0,2,2,3,6,10
181,Vladimir,Huccaby,vhuccaby50@scribd.com,Male,-71.6042692792724,-33.3776602454085,5064086-8,10,4,5,8,2
182,Carlie,Rudeyeard,crudeyeard51@ibm.com,Female,-71.5782595180674,-33.3309405776981,5024177-7,4,10,10,10,1
183,Dulce,Abernethy,dabernethy52@free.fr,Female,-71.5872272243528,-33.3856705810142,5010748-5,9,3,2,9,5
184,Wye,Buss,wbuss53@soup.io,Male,-71.3602886590856,-33.5396213924565,5007636-9,1,9,10,1,5
185,Marven,Syalvester,msyalvester54@apple.com,Male,-71.4403170241836,-33.5124300567319,24997615-6,5,1,10,2,8
186,Haily,Foltin,hfoltin55@etsy.com,Female,-71.4328996977361,-33.5449003518585,24941349-6,5,4,3,7,5
187,Oby,Holston,oholston56@csmonitor.com,Male,-71.6817784490119,-33.4095921329302,24920819-1,5,10,3,5,1
188,Stacey,Scutching,sscutching57@mapy.cz,Female,-71.6776486721633,-33.3967765418178,24813672-3,4,1,10,9,3
189,Tudor,Easter,teaster58@tuttocitta.it,Male,-71.6145193001652,-33.4283802828448,24791087-5,4,10,8,9,6
190,Zsazsa,Jailler,zjailler59@mediafire.com,Female,-71.6548098402878,-33.4572219646624,24775715-5,10,6,1,8,9
191,Ivan,Guerin,iguerin5a@example.com,Male,-71.493121715017,-33.4881726186428,24737768-9,10,3,10,7,5
192,Valaria,Amorts,vamorts5b@google.com.au,Female,-71.6488871515167,-33.4730905823372,24719844-k,4,7,10,8,3
193,Markos,Trussman,mtrussman5c@xing.com,Male,-71.6146250139607,-33.6671582695325,24677279-7,5,5,3,3,8
194,Gray,Espinel,gespinel5d@arstechnica.com,Male,-71.7280943285701,-33.8561216537346,24633006-9,6,7,5,7,9
195,Barry,Raccio,braccio5e@ovh.net,Male,-71.6432435337739,-33.7565128969068,24632831-5,1,2,7,5,3
196,Harbert,Tejero,htejero5f@wp.com,Male,-70.7567183653365,-32.7810433809901,24565450-2,3,10,2,8,9
197,Hermia,Endacott,hendacott5g@usda.gov,Female,-70.7785576977967,-32.7003721778461,24557154-2,3,1,4,3,7
198,Vidovik,Jepps,vjepps5h@yale.edu,Male,-70.7151327732329,-32.7601616369113,24537963-3,3,2,3,10,5
199,Zacherie,Hullbrook,zhullbrook5i@facebook.com,Male,-70.862585369862,-32.7436417451814,24483350-0,2,4,6,9,5
200,Hildegaard,Choppen,hchoppen5j@shop-pro.jp,Female,-70.8992803788098,-32.7696194684189,24479248-0,6,1,5,9,2
201,Fredrika,Addinall,faddinall5k@marriott.com,Female,-71.0072353963888,-32.7295348956636,24474332-3,8,8,4,8,4
202,Zandra,Garie,zgarie5l@stanford.edu,Female,-70.8023416794991,-32.8527993931434,24431638-7,7,5,3,6,10
203,Luciano,Heinzler,lheinzler5m@ehow.com,Male,-70.7331188696116,-32.9176036198875,24415200-7,8,1,5,10,1
204,Nataline,Sparrowhawk,nsparrowhawk5n@umn.edu,Female,-70.8234895040159,-32.9062012254548,24389981-8,7,4,9,4,7
205,Vanya,Hawker,vhawker5o@ycombinator.com,Male,-70.7739534588771,-32.7898789727558,24378724-6,7,8,6,4,7
206,Teodor,Bartomeu,tbartomeu5p@amazon.de,Male,-70.7998249069299,-32.7550948280558,24323683-5,4,7,2,7,7
207,Kalil,Beeho,kbeeho5q@privacy.gov.au,Male,-70.7899376778943,-32.7740930154167,24261183-7,9,1,4,8,2
208,Carroll,Adcock,cadcock5r@smugmug.com,Female,-70.5834208779764,-32.4936695321923,24253908-7,5,1,7,4,10
209,Whitaker,Atheis,watheis5s@ifeng.com,Male,-70.3798716969875,-32.2977249624412,24219442-k,1,9,3,1,4
210,Ode,Darke,odarke5t@xing.com,Male,-70.4052674794709,-32.4447933009374,24196540-6,9,9,10,4,3
211,Gerald,Cafe,gcafe5u@goo.ne.jp,Male,-70.6673163591718,-32.7780514312263,24190502-0,2,7,3,6,10
212,Inna,Yelyashev,iyelyashev5v@ning.com,Female,-70.6206538904377,-32.6793703211277,24171418-7,3,7,9,4,5
213,Prescott,Twelvetree,ptwelvetree5w@comcast.net,Male,-70.6595615931111,-32.7265687792967,24120715-3,10,6,6,8,1
214,Mirilla,Stilldale,mstilldale5x@vkontakte.ru,Female,-71.3142436613271,-33.1491269135637,24060482-5,4,3,4,5,9
215,Olenolin,Levesley,olevesley5y@xrea.com,Male,-71.2315195912598,-33.1779889296125,24059135-9,2,4,6,1,5
216,Marietta,Douglass,mdouglass5z@ucla.edu,Male,-71.3573195739148,-33.1497907749509,24058870-6,9,4,5,10,8
217,Vivian,Janowski,vjanowski60@loc.gov,Female,-71.0838345211349,-33.0565144539627,24020425-8,6,2,5,9,2
218,Fleming,Stuffins,fstuffins61@about.me,Male,-71.1498565379947,-32.9940672580187,24005918-5,9,6,6,8,10
219,Willis,Iacomi,wiacomi62@de.vu,Male,-71.0309781123576,-33.033638350781,23934722-3,3,8,7,7,9
220,Urbanus,Tarte,utarte63@etsy.com,Male,-70.8313015082669,-34.1354894460492,23928462-0,2,8,3,6,3
221,Amerigo,Cahalan,acahalan64@qq.com,Male,-70.8222887254351,-34.1219385142551,23873390-1,1,3,5,6,3
